Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Yan Gomes,WAS,45,148,9,34,7,0,2,19,0,0,12,41,0,0,3,.230,.301,.318,.619
Roberto Perez,CLE,48,147,20,35,4,0,11,27,0,0,22,46,2,2,1,.238,.337,.490,.827
Tucker Barnhart,CIN,55,147,16,29,4,0,5,18,0,0,21,47,1,1,0,.197,.296,.327,.623
Austin Barnes,LAD,45,133,17,28,7,0,4,15,2,0,17,31,0,1,4,.211,.316,.353,.669
Elias Diaz,PIT,40,133,14,36,8,0,1,18,0,0,8,22,0,1,0,.271,.310,.353,.663
Carson Kelly,ARI,48,132,15,35,10,0,8,23,0,0,15,28,0,1,1,.265,.342,.523,.865
John Hicks,DET,38,128,10,28,10,0,3,9,1,0,7,39,0,1,0,.219,.257,.367,.624
Tyler Flowers,ATL,39,125,13,32,4,2,5,12,0,0,14,46,0,1,2,.256,.338,.440,.778
Mike Zunino,TB,36,124,13,22,7,1,3,17,0,0,6,36,0,0,2,.177,.227,.323,.550
Pedro Severino,BAL,40,123,12,33,6,0,8,18,0,0,14,29,1,1,2,.268,.350,.512,.862
Kurt Suzuki,WAS,38,122,14,33,6,0,6,27,0,1,7,21,0,2,3,.270,.321,.467,.788
